Never make it easy: ######## 64/64,Nail that nagging plot thread off-screen somehow.
Don't start at the start:,Nail that coffin now.
Do you have too many guns?,Just remember that bovine morsel with infectous ends.
There will always be loose ends.,Move on without letting go.
Characters demand motives.,Move on and let go.
Still life exercise:,Make something fall off a cliff.
Time will tell your edifice.,Trip on a new branch and gain momentum.
Are they characters or just caricatures?,Is there such a thing?
The middle of things is always the murkiest:,Cut the strings.
They want something.,Leave some monkeys adrift.
Why is your character in a bathroom?,Look at it from the eyes of a cat.
Why do you show them eating?,Just add midgets!
Where you nod off:,Think like a lier and resolve the issue.
Unwaivering absolutes are poison.,Tell everything In half truths.
Magnets! #######,Throw some feces at it.
,Pull out now and save many lives.
,Hide your morsels for a second pass.
,Some dummies should remain dummies.
,Light up a fire where no one wants one.
,Let everyone in on the dirty secret without realizing it.
,Hold back from spewing rhetoric and let your subconscious do the preaching.
,Tether on the brink of Disneyland.
,Think about it while you sleep.
,How would this world act without your pet?
,Use that to your advantage.
,What song would inspire the scene?
,Reach the point where even Hitler cries for mum.
,Incite someone who wants to be left alone.
,Make them impotent.
,A man is crying somewhere.
,Who has access to the gun?
,Tear apart and rebuild.
,ID the dummies and come back later to infect with AI.
,What song chimes with this theme?
,Time is relative and fragmentory: use it to your advantage.
,Let madness be a virtue.
,Expose with purpose.
,Expose but reveal later.
,Talk this out --especially in public.
,Why are they on the pot --drugs or otherwise?
,"If you lopped it off, would someone miss it?"
,Shorten or cut.
,Make superstition the trump card.
,Sidestep the issue.
,Use it to someone elses' advantage.
,Elaborate then trim.
,Isolated incident or rampant virus?
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
############ Last,Last
,
/ / / / / / / phrases-general.csv -- 64 of the Best yins or yangs COMBINED  / / / / / ,
Time will tell your edifice. Hold back from spewing rhetoric and let your subconscious do the preaching.,
"Tether on the brink of chaos, then disneyland. Then more xhaos again.",
Think about it while you sleep.,
Are they characters or just caricatures? Which one should they (mostly) be?,
The middle of things is always the murkiest: use that to your advantage.,
Fire when the contagion is inhaled,
Zen is letting others in on dirty secret.,
What song would inspire your scece?,
Reach the point where even Hitler cries for mum.,
Are there saucer burritos?,
Incite someone who wants to be left alone.,
A man is crying here.,
ID the dummies and come back later to infect with AI.,
What song chimes with this theme?,
Time is relative and fragmentory: use it to your advantage.,
Madness is a virtue. At least when your character believes it.,
Expose with purpose.,
Expose but reveal later.,
"If you lopped it off, would she miss it?",
Where you nod off: shorten or cut.,
"Superstitions are trump card in dire strates. Maybe not for the holder, though.",
Unwaivering absolutes are poison. Unless that's the point.,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
/ / / / / /   69 Original Phrases  that belong in 'phrases-general.csv',
,
"Satan runs a non-profit, it's called your antagonist.",
Chain-link events loosely. Come back later and restitch them to solidify motive.,
"Give them what they want, then rip it away and bury the remains. Raise them stakes like charlie wants to freebase chocolate.",
"More is less, and less is more. And sometimes just absurd.",
Find the prey you've yet to bring out.,
Find the predator you've yet to discover.,
"ACTION speaks lohder than words, but Talking can also besction. but never do it all in one, static way.",
Whizz on it and make it dance.,
"If it's just a cameo, it had nrtter be wearing a codpiece.",
"Smear crap on the walls and make some write in it. Finger, foreign object, or tongue.",
There is a purpose: yours is not to reveal it so willingly to all.,
Dead man tell whatever is needed.,
What were the dead man's motives? Are they still lingering about?,
Only certain details are highlighted. They are the correct ones if they reveal charcter or advance the plot.,
Verbosity kills the writer.,
Verbosity is king with certain styles/genre.,
Can it be saved for later? Or at all?,
Are they at this alone or in wolfpacks?,
Are you holding on to this section only for padding?,
"Pad now, evisorate on the next pass.",
Can they hear Major Tom?,
How many voices run around in their pretty heads? Just one?,
Do they really all so neatly see it the same way?,
Where can I add pink elephants?,
Are the pink elephants running the show? Should they be?,
"When in doubt, write more, cut the bad later.",
Keep writing.,
Stop thinking for now And just write.,
Envision the hellish end.,
A happy ending is a crappy ending.,
Assume anti-hero status and hide his/her heart in a vortex of self-doubt and delusions.,
Act pn yhese doubts or lack of activity.,
"""A day in yhe life of..."" Write the sidestory, then you have a corner piece to write the middle.",
The middle is the beginning to the end.,
"Earned, never given.",
Rocky mountain time.,
Follow your intuition. Plot later.,
Plot if you are lost on reentry.,
Where is your love interest? Why is it not tied up?,
Find a thythm and write to it. The tempo may change the composer is always you.,
Does your char ever smell?,
"Less ""and"" and more '"" buts"".",
No rolleCoaster is a straight line.,
Like the imperfections.,
"Too perfect, too phony.",
Fill in Character motives=fill in m's sing plot.,
Fuck over your most loved Character.,
"Have a character fuck themselves over,",
